County,Town/Village/City,Test Location in Home,# of Homes Tested,Average Radon (pCi/L),GEO Mean,GEO S.D.,Highest (pCi/L),< 4.0 pCi/L,>=4 and < 20pCi/L,>=20pCi/L
ALLEGANY,ALFRED,Basement,38,3.98,2.19,3.23,26.4,27,10,1
ALLEGANY,ALFRED,1st Floor,12,0.64,0.44,2.64,1.9,12,0,0
ALLEGANY,ALLEN,Basement,1,8.5,8.5,1,8.5,0,1,0
ALLEGANY,ALMA,Basement,6,6.98,1.88,7.05,30,4,1,1
ALLEGANY,ALMA,1st Floor,3,4.2,2.87,3.25,8.2,2,1,0
ALLEGANY,ALMOND,Basement,19,7.49,4.84,2.65,25.7,9,9,1
ALLEGANY,ALMOND,1st Floor,7,2.33,1.18,3.92,5.1,4,3,0
ALLEGANY,AMITY,Basement,34,13.88,6.86,4.62,45.2,9,16,9
ALLEGANY,AMITY,1st Floor,23,4.07,2.18,3.27,17.3,16,7,0
ALLEGANY,ANDOVER,Basement,43,11.51,5.82,3.74,40.4,16,16,11
ALLEGANY,ANDOVER,1st Floor,9,9.16,3.86,5.98,29.8,4,3,2
ALLEGANY,ANGELICA,Basement,5,17.52,12.48,2.76,40.1,1,3,1
ALLEGANY,ANGELICA,1st Floor,7,4.74,1.85,4.29,22,5,1,1
ALLEGANY,BELFAST,Basement,15,11.18,3.78,3.21,117.2,7,7,1
ALLEGANY,BELFAST,1st Floor,10,1.98,1.37,2.35,7.5,9,1,0
ALLEGANY,BOLIVAR,Basement,28,7.74,3.97,3.81,27.4,13,12,3
ALLEGANY,BOLIVAR,1st Floor,16,6.78,1.84,4.35,56.7,12,2,2
ALLEGANY,BURNS,Basement,19,28.81,6.32,6.03,216.6,8,6,5
ALLEGANY,BURNS,1st Floor,6,1.38,0.82,3.02,4.3,5,1,0
ALLEGANY,CANEADEA,Basement,23,3.19,1.93,2.89,14,18,5,0
ALLEGANY,CANEADEA,1st Floor,12,1.98,1.35,2.87,6.6,11,1,0
ALLEGANY,CENTERVILLE,Basement,3,5.27,4.58,1.87,9.4,2,1,0
ALLEGANY,CENTERVILLE,1st Floor,3,4.6,2.88,3.54,10,2,1,0
ALLEGANY,CLARKSVILLE,Basement,6,5.58,3.5,3.29,10.8,3,3,0
ALLEGANY,CLARKSVILLE,1st Floor,1,7.5,7.5,1,7.5,0,1,0
ALLEGANY,CUBA,Basement,45,12.48,6.03,3.43,81.1,16,21,8
ALLEGANY,CUBA,1st Floor,25,4.3,2.23,3.31,29.4,16,8,1
ALLEGANY,FRIENDSHIP,Basement,10,17.97,9.6,3.44,65.8,2,5,3
ALLEGANY,FRIENDSHIP,1st Floor,6,5.97,3.55,3.56,17.6,3,3,0
ALLEGANY,GENESEE,Basement,5,5.18,3.57,2.86,10.9,2,3,0
ALLEGANY,GENESEE,1st Floor,3,3.13,1.21,5.65,8.4,2,1,0
ALLEGANY,GRANGER,Basement,2,1.3,1.24,1.57,1.7,2,0,0
ALLEGANY,GRANGER,1st Floor,2,0.4,0.26,3.96,0.7,2,0,0
ALLEGANY,GROVE,Basement,2,1.75,0.98,5.33,3.2,2,0,0
ALLEGANY,HUME,Basement,39,8.32,5.12,2.86,42.6,15,21,3
ALLEGANY,HUME,1st Floor,20,2.58,1.51,2.8,12.2,16,4,0
ALLEGANY,INDEPENDENCE,Basement,6,5.83,4.21,2.44,15.5,3,3,0
ALLEGANY,INDEPENDENCE,1st Floor,6,3.57,2.45,2.51,8.2,4,2,0
ALLEGANY,NEW HUDSON,Basement,2,1.5,1.2,2.67,2.4,2,0,0
ALLEGANY,NEW HUDSON,1st Floor,1,0.6,0.6,1,0.6,1,0,0
ALLEGANY,RUSHFORD,Basement,11,4.1,2.01,3.66,23.9,9,1,1
ALLEGANY,SCIO,Basement,15,12.91,5.65,4.51,48.1,7,4,4
ALLEGANY,SCIO,1st Floor,8,2.84,1.38,4.06,12,7,1,0
ALLEGANY,W. ALMOND,Basement,3,2.5,2.47,1.2,2.8,3,0,0
ALLEGANY,W. ALMOND,1st Floor,1,2.8,2.8,1,2.8,1,0,0
ALLEGANY,WARD,Basement,6,12.47,6.19,4.26,26.4,3,1,2
ALLEGANY,WARD,1st Floor,2,8.7,8.53,1.32,10.4,0,2,0
ALLEGANY,WELLSVILLE,Basement,154,11.87,5.42,3.7,113.8,60,74,20
ALLEGANY,WELLSVILLE,1st Floor,60,2.66,1,4.13,42.9,51,8,1
ALLEGANY,WILLING,Basement,6,16.52,12.69,2.36,38.1,1,4,1
ALLEGANY,WILLING,1st Floor,1,1.3,1.3,1,1.3,1,0,0
ALLEGANY,WIRT,Basement,2,1.25,1.2,1.5,1.6,2,0,0
ALLEGANY,WIRT,1st Floor,1,0.2,0.2,1,0.2,1,0,0
BROOME,BARKER,Basement,9,4.97,3.75,2.3,14.2,4,5,0
BROOME,BINGHAMTON,Basement,"1,079",6.36,3.05,3.44,118.8,638,372,69
BROOME,BINGHAMTON,1st Floor,311,2.6,1.32,3.22,34.1,253,55,3
BROOME,CHENANGO,Basement,143,8.44,5.2,2.69,69.7,62,66,15
BROOME,CHENANGO,1st Floor,49,3.38,2,3.4,19.5,33,16,0
BROOME,COLESVILLE,Basement,40,6.08,3.16,3.1,61.4,25,13,2
BROOME,COLESVILLE,1st Floor,21,2.14,1.25,2.82,12,19,2,0
BROOME,CONKLIN,Basement,57,11.45,6.14,3.34,108.1,19,31,7
BROOME,CONKLIN,1st Floor,29,6.46,2.72,4.36,32.9,16,11,2
BROOME,DICKINSON,Basement,45,8.7,4.37,3.08,94,20,20,5
BROOME,DICKINSON,1st Floor,11,3.55,1.75,3.95,12.4,7,4,0
BROOME,FENTON,Basement,89,16.66,6.41,3.57,210.7,35,37,17
BROOME,FENTON,1st Floor,37,10.21,4.32,3.38,72.9,18,15,4
BROOME,JOHNSON,Basement,7,2.23,1.78,2.06,5.2,6,1,0
BROOME,JOHNSON,1st Floor,4,1.03,0.67,2.7,2.8,4,0,0
BROOME,KIRKWOOD,Basement,66,8.79,4.34,3.44,86.6,33,26,7
BROOME,KIRKWOOD,1st Floor,19,2.89,1.89,2.82,8.4,14,5,0
BROOME,LISLE,Basement,13,13.85,4.71,4.02,102.2,8,2,3
BROOME,LISLE,1st Floor,9,16.39,3.76,9.41,66.1,4,3,2
BROOME,MAINE,Basement,26,3.37,1.79,3.22,23.1,21,4,1
BROOME,MAINE,1st Floor,10,4.25,2.46,2.82,15.7,7,3,0
BROOME,NANTICOKE,Basement,4,0.98,0.78,2.1,2.1,4,0,0
BROOME,NANTICOKE,1st Floor,1,0.1,0.1,1,0.1,1,0,0
BROOME,SANFORD,Basement,32,11.25,4.71,4.06,49.5,15,9,8
BROOME,SANFORD,1st Floor,12,2.78,1.42,4.22,7.8,7,5,0
BROOME,TRIANGLE,Basement,28,8.48,5.31,2.58,46.5,10,16,2
BROOME,TRIANGLE,1st Floor,12,2.19,1.59,2.31,6.8,10,2,0
BROOME,UNION,Basement,"1,170",3.87,2.25,2.85,55.7,818,327,25
BROOME,UNION,1st Floor,289,1.92,1.07,3.03,17.8,258,31,0
BROOME,VESTAL,Basement,536,5.02,2.18,3.82,87.8,372,135,29
BROOME,VESTAL,1st Floor,279,1.89,0.58,3.85,60.9,252,22,5
BROOME,WINDSOR,Basement,71,6.05,3.03,3.07,45.8,47,19,5
BROOME,WINDSOR,1st Floor,26,4.35,2.47,2.98,19,16,10,0
CATTARAUGUS,ALLEGANY,Basement,201,12.02,5.33,3.54,275.9,84,83,34
CATTARAUGUS,ALLEGANY,1st Floor,54,7.53,2.52,4.08,174.4,33,20,1
CATTARAUGUS,ASHFORD,Basement,27,9.59,3.51,3.85,94.4,14,10,3
CATTARAUGUS,ASHFORD,1st Floor,10,2.77,1.06,4.31,16.4,9,1,0
CATTARAUGUS,CARROLLTON,Basement,15,2.56,1.7,2.99,5.9,10,5,0
CATTARAUGUS,CARROLLTON,1st Floor,3,0.63,0.6,1.5,0.9,3,0,0
CATTARAUGUS,COLDSPRING,Basement,8,10.84,4.77,3.78,42.5,5,1,2
CATTARAUGUS,COLDSPRING,1st Floor,7,3.27,2.54,2.22,6.5,5,2,0
CATTARAUGUS,CONEWANGO,Basement,15,2.8,1.85,2.45,13.3,12,3,0
CATTARAUGUS,CONEWANGO,1st Floor,3,3.53,2.98,2,6.6,2,1,0
CATTARAUGUS,DAYTON,Basement,13,4.09,2.71,2.65,12.6,9,4,0
CATTARAUGUS,DAYTON,1st Floor,10,1.52,0.81,3.57,5,9,1,0
CATTARAUGUS,E. OTTO,Basement,4,10,3.35,5.2,34.6,3,0,1
CATTARAUGUS,E. OTTO,1st Floor,2,1.25,1,2.67,2,2,0,0
CATTARAUGUS,ELLICOTTVILLE,Basement,28,7.95,4.41,3.02,40,15,10,3
CATTARAUGUS,ELLICOTTVILLE,1st Floor,13,2.62,1.88,2.38,6.4,9,4,0
CATTARAUGUS,FARMERSVILLE,Basement,3,18.23,2.01,17.48,53.9,2,0,1
CATTARAUGUS,FARMERSVILLE,1st Floor,2,0.15,0.14,1.63,0.2,2,0,0
CATTARAUGUS,FRANKLINVILLE,Basement,54,9.25,5.09,3.54,38.2,20,27,7
CATTARAUGUS,FRANKLINVILLE,1st Floor,38,3.69,1.97,3.81,11.7,23,15,0
CATTARAUGUS,FREEDOM,Basement,19,8.16,4.88,2.85,28.4,8,8,3
CATTARAUGUS,FREEDOM,1st Floor,8,1.76,0.69,4.92,7.4,7,1,0
CATTARAUGUS,GREAT VALLEY,Basement,48,10.56,5.43,3.25,62.1,19,21,8
CATTARAUGUS,GREAT VALLEY,1st Floor,12,4.22,2.66,2.77,12.3,8,4,0
CATTARAUGUS,HINSDALE,Basement,48,11.81,5.41,3.79,61.5,21,16,11
CATTARAUGUS,HINSDALE,1st Floor,12,4.2,2.16,4.43,10.5,6,6,0
CATTARAUGUS,HUMPHREY,Basement,7,5.89,4.84,2.05,10.7,3,4,0
CATTARAUGUS,HUMPHREY,1st Floor,2,1.55,1.51,1.38,1.9,2,0,0
CATTARAUGUS,ISCHUA,Basement,13,5.46,4.29,2.06,17.3,5,8,0
CATTARAUGUS,ISCHUA,1st Floor,3,1.2,1.06,1.92,1.6,3,0,0
CATTARAUGUS,LEON,Basement,9,10.67,5.77,3.28,38.4,4,3,2
CATTARAUGUS,LEON,1st Floor,1,0.8,0.8,1,0.8,1,0,0
CATTARAUGUS,LITTLE VALLEY,Basement,59,15.36,9.85,2.85,64.9,10,35,14
CATTARAUGUS,LITTLE VALLEY,1st Floor,34,6.28,4.5,2.44,32.1,15,18,1
CATTARAUGUS,LYNDON,Basement,6,17.78,3.96,5.33,94.4,5,0,1
CATTARAUGUS,LYNDON,1st Floor,2,1.05,0.73,3.55,1.8,2,0,0
CATTARAUGUS,MACHIAS,Basement,39,12.83,5.94,3.84,56.7,17,14,8
CATTARAUGUS,MACHIAS,1st Floor,14,7.86,1.86,4.76,73,11,2,1
CATTARAUGUS,MANSFIELD,Basement,5,7.58,6.6,1.86,11.9,1,4,0
CATTARAUGUS,MANSFIELD,1st Floor,3,1.9,1.11,3.43,4.6,2,1,0
CATTARAUGUS,NAPOLI,Basement,8,1.56,0.68,4.57,6.3,7,1,0
CATTARAUGUS,NAPOLI,1st Floor,6,3.6,2.07,3.37,12,5,1,0
CATTARAUGUS,NEW ALBION,Basement,52,16.96,8.65,3.57,112.1,13,24,15
CATTARAUGUS,NEW ALBION,1st Floor,18,6.01,2.47,4.51,30.1,12,5,1
CATTARAUGUS,OLEAN,Basement,482,7.77,2.96,3.02,522.1,304,154,24
CATTARAUGUS,OLEAN,1st Floor,117,3.39,1.29,3.63,64.6,96,18,3
CATTARAUGUS,OTTO,Basement,15,3.83,3.2,1.85,11.6,9,6,0
CATTARAUGUS,OTTO,1st Floor,5,1.58,1.53,1.36,2,5,0,0
CATTARAUGUS,PERRYSBURG,Basement,34,6.23,3.55,2.98,22,21,10,3
CATTARAUGUS,PERRYSBURG,1st Floor,5,1.3,0.62,3.97,4.6,4,1,0
CATTARAUGUS,PERSIA,Basement,30,5.81,3.73,2.58,21,18,10,2
CATTARAUGUS,PERSIA,1st Floor,8,1.93,1.12,3.68,4.6,6,2,0
CATTARAUGUS,PORTVILLE,Basement,62,7.12,4.27,2.8,39.6,31,28,3
CATTARAUGUS,PORTVILLE,1st Floor,26,2.54,1.44,2.88,12,22,4,0
CATTARAUGUS,RANDOLPH,Basement,58,9.33,5.73,2.82,51.5,19,31,8
CATTARAUGUS,RANDOLPH,1st Floor,19,4.53,2.21,4.48,17.7,11,8,0
CATTARAUGUS,RED HOUSE,Basement,5,3.28,2.71,2.23,4.6,2,3,0
CATTARAUGUS,RED HOUSE,1st Floor,4,2.55,1.8,2.55,6.3,3,1,0
CATTARAUGUS,SALAMANCA,Basement,94,7.62,4.2,3.06,67.3,43,43,8
CATTARAUGUS,SALAMANCA,1st Floor,49,3.01,1.91,2.63,14.4,36,13,0
CATTARAUGUS,SO. VALLEY,Basement,2,4.45,3.65,2.51,7,1,1,0
CATTARAUGUS,SO. VALLEY,1st Floor,2,0.6,0.45,3.12,1,2,0,0
CATTARAUGUS,YORKSHIRE,Basement,33,19.78,9.38,3.52,162.7,7,19,7
CATTARAUGUS,YORKSHIRE,1st Floor,18,3.96,1.93,4.02,17,12,6,0
CAYUGA,AUBURN,Basement,733,4.28,2.69,2.56,106,507,210,16
CAYUGA,AUBURN,1st Floor,590,2.08,1.15,2.95,91.2,517,72,1
CAYUGA,AURELIUS,Basement,34,2.53,1.9,2.21,7.9,28,6,0
CAYUGA,AURELIUS,1st Floor,26,1.38,0.9,3.02,4.6,24,2,0
CAYUGA,BRUTUS,Basement,74,4.46,3.18,2.45,15.2,44,30,0
CAYUGA,BRUTUS,1st Floor,75,2.63,1.52,2.99,12.7,60,15,0
CAYUGA,CATO,Basement,30,3.4,1.89,3.04,23.5,25,4,1
CAYUGA,CATO,1st Floor,39,1.27,0.92,2.36,5.1,37,2,0
CAYUGA,CONQUEST,Basement,2,2.05,2.04,1.11,2.2,2,0,0
CAYUGA,CONQUEST,1st Floor,12,0.89,0.53,2.86,3.9,12,0,0
CAYUGA,FLEMING,Basement,37,4.71,2.9,2.81,20.1,24,12,1
CAYUGA,FLEMING,1st Floor,37,2.54,1.5,2.95,12.9,28,9,0
CAYUGA,GENOA,Basement,23,3.92,2.82,2.39,16.1,16,7,0
CAYUGA,GENOA,1st Floor,22,2.27,1.09,3.28,14.3,19,3,0
CAYUGA,IRA,Basement,3,2.47,2.01,2.13,4.8,2,1,0
CAYUGA,IRA,1st Floor,12,3.24,1.97,2.58,16.4,10,2,0
CAYUGA,LEDYARD,Basement,20,2.58,2.17,1.84,6.1,17,3,0
CAYUGA,LEDYARD,1st Floor,29,1.1,0.63,2.94,6.8,28,1,0
CAYUGA,LOCKE,Basement,23,9.8,5.28,3.19,43.8,11,7,5
CAYUGA,LOCKE,1st Floor,32,2.84,1.53,3.21,23.6,27,4,1
CAYUGA,MENTZ,Basement,23,3.18,2.47,2.17,10,16,7,0
CAYUGA,MENTZ,1st Floor,22,1.5,1.02,2.77,5.1,21,1,0
CAYUGA,MONTEZUMA,Basement,3,4,3.97,1.16,4.7,2,1,0
CAYUGA,MONTEZUMA,1st Floor,7,0.8,0.64,2.15,1.5,7,0,0
CAYUGA,MORAVIA,Basement,107,7.67,4.38,2.98,47.9,53,44,10
CAYUGA,MORAVIA,1st Floor,116,3.87,1.81,3.8,37.8,83,30,3
CAYUGA,NILES,Basement,9,5.28,3.35,3.32,12.7,4,5,0
CAYUGA,NILES,1st Floor,7,0.87,0.79,1.66,1.3,7,0,0
CAYUGA,OWASCO,Basement,52,3.05,2.46,2.01,8,38,14,0
CAYUGA,OWASCO,1st Floor,40,1.69,1.21,2.32,6.1,36,4,0
CAYUGA,SCIPIO,Basement,15,2.89,2.18,2.29,7.3,12,3,0
CAYUGA,SCIPIO,1st Floor,11,1.8,1.44,2.02,5.2,10,1,0
CAYUGA,SEMPRONIUS,Basement,8,5.35,4.4,1.99,10.3,4,4,0
CAYUGA,SEMPRONIUS,1st Floor,3,6.3,5.87,1.62,8.6,1,2,0
CAYUGA,SENNETT,Basement,56,8,3.88,3.02,145.6,27,26,3
CAYUGA,SENNETT,1st Floor,37,4.78,2.13,2.97,58.8,30,5,2
CAYUGA,SPRINGPORT,Basement,59,6.16,2.97,2.86,81.9,42,14,3
CAYUGA,SPRINGPORT,1st Floor,60,2.86,1.53,3.19,23.7,47,12,1
CAYUGA,STERLING,Basement,11,2.28,1.92,1.85,5,9,2,0
CAYUGA,STERLING,1st Floor,7,0.74,0.53,2.58,2,7,0,0
CAYUGA,SUMMERHILL,Basement,1,2.2,2.2,1,2.2,1,0,0
CAYUGA,SUMMERHILL,1st Floor,1,1.4,1.4,1,1.4,1,0,0
CAYUGA,THROOP,Basement,18,2.68,2.27,1.79,7.6,15,3,0
CAYUGA,THROOP,1st Floor,13,2.05,1.17,2.96,9.3,11,2,0
CAYUGA,VENICE,Basement,9,3.88,1.74,3.86,18.1,6,3,0
CAYUGA,VENICE,1st Floor,11,2.85,2.15,2.11,8.5,9,2,0
CAYUGA,VICTORY,Basement,5,2.28,1.5,3.13,4.3,3,2,0
CAYUGA,VICTORY,1st Floor,2,1,0.87,2.17,1.5,2,0,0
CHAUTAUQUA,ARKWRIGHT,Basement,2,1.8,1.61,1.97,2.6,2,0,0
CHAUTAUQUA,BUSTI,Basement,42,3.03,1.9,2.53,18.7,34,8,0
CHAUTAUQUA,BUSTI,1st Floor,10,1.23,0.75,3.07,4.1,9,1,0
CHAUTAUQUA,CARROLL,Basement,34,10.73,7.26,2.73,28.3,11,17,6
CHAUTAUQUA,CARROLL,1st Floor,7,5.97,2.92,4.51,13.6,4,3,0
CHAUTAUQUA,CHARLOTTE,Basement,3,13.33,8.72,3.8,22.8,1,1,1
CHAUTAUQUA,CHARLOTTE,1st Floor,2,5.85,1.52,17.55,11.5,1,1,0
CHAUTAUQUA,CHAUTAUQUA,Basement,33,2.44,1.48,3.2,10.9,28,5,0
CHAUTAUQUA,CHAUTAUQUA,1st Floor,5,1.1,0.58,3.84,3.2,5,0,0
CHAUTAUQUA,CHERRY CREEK,Basement,9,5.23,2.93,4.56,9.9,4,5,0
CHAUTAUQUA,CHERRY CREEK,1st Floor,11,2.73,1.62,3.07,9.6,8,3,0
CHAUTAUQUA,CLYMER,Basement,26,7.78,4.97,2.86,22.4,12,13,1
CHAUTAUQUA,CLYMER,1st Floor,4,4.75,2.47,3.78,13.7,3,1,0
CHAUTAUQUA,DUNKIRK,Basement,72,1.86,1.03,2.89,22,66,5,1
CHAUTAUQUA,DUNKIRK,1st Floor,18,1.06,0.58,3.23,5.3,17,1,0
CHAUTAUQUA,ELLERY,Basement,23,10.79,2.82,5.86,102.1,14,6,3
CHAUTAUQUA,ELLERY,1st Floor,12,3.73,2.4,2.66,14.5,7,5,0
CHAUTAUQUA,ELLICOTT,Basement,60,5.35,2.99,2.87,36,38,20,2
CHAUTAUQUA,ELLICOTT,1st Floor,15,2.93,0.9,5.58,14.9,12,3,0
CHAUTAUQUA,ELLINGTON,Basement,7,6.56,4.4,2.8,15.4,4,3,0
CHAUTAUQUA,ELLINGTON,1st Floor,2,0.3,0.22,3.12,0.5,2,0,0
CHAUTAUQUA,GERRY,Basement,3,10.87,7.37,2.84,24.5,1,1,1
CHAUTAUQUA,GERRY,1st Floor,3,0.57,0.4,3.32,0.8,3,0,0
CHAUTAUQUA,HANOVER,Basement,84,4.84,2.4,3.04,97.7,62,19,3
CHAUTAUQUA,HANOVER,1st Floor,20,1.75,0.93,3.13,11.5,18,2,0
CHAUTAUQUA,HARMONY,Basement,8,2.63,1.47,3.9,9.1,7,1,0
CHAUTAUQUA,HARMONY,1st Floor,2,1.05,0.89,2.28,1.6,2,0,0
CHAUTAUQUA,JAMESTOWN,Basement,301,4.77,2.41,3.17,74.6,203,90,8
CHAUTAUQUA,JAMESTOWN,1st Floor,70,2.3,1.03,3.4,38.6,61,8,1
CHAUTAUQUA,KIANTONE,Basement,9,7.26,4.6,3.33,14.9,3,6,0
CHAUTAUQUA,KIANTONE,1st Floor,2,0.9,0.85,1.63,1.2,2,0,0
CHAUTAUQUA,MINA,Basement,3,11.07,7.21,3.9,17.2,1,2,0
CHAUTAUQUA,NO. HARMONY,Basement,23,3.08,2.13,2.78,8,15,8,0
CHAUTAUQUA,NO. HARMONY,1st Floor,3,0.93,0.81,1.95,1.5,3,0,0
CHAUTAUQUA,POLAND,Basement,10,16.37,8.82,4.4,49.4,3,4,3
CHAUTAUQUA,POLAND,1st Floor,5,6.32,1.68,9.11,22.2,2,2,1
CHAUTAUQUA,POMFRET,Basement,141,6.35,2.87,3.3,131.3,89,45,7
CHAUTAUQUA,POMFRET,1st Floor,35,3.24,1.02,3.9,58.7,30,4,1
CHAUTAUQUA,PORTLAND,Basement,13,5.06,2.82,2.98,18.6,9,4,0
CHAUTAUQUA,PORTLAND,1st Floor,4,0.7,0.41,3.39,1.9,4,0,0
CHAUTAUQUA,RIPLEY,Basement,4,3.88,2.2,3.52,10.8,3,1,0
CHAUTAUQUA,RIPLEY,1st Floor,7,0.76,0.68,1.62,1.7,7,0,0
CHAUTAUQUA,SHERIDAN,Basement,22,11.85,4.16,4.51,57.9,13,4,5
CHAUTAUQUA,SHERIDAN,1st Floor,2,0.9,0.85,1.63,1.2,2,0,0
CHAUTAUQUA,SHERMAN,Basement,17,4.19,2.33,3.1,15.7,12,5,0
CHAUTAUQUA,SHERMAN,1st Floor,2,2,2,1.07,2.1,2,0,0
CHAUTAUQUA,STOCKTON,Basement,18,8.27,5.43,2.96,23.1,5,12,1
CHAUTAUQUA,STOCKTON,1st Floor,3,2.27,1.44,3.1,5.3,2,1,0
CHAUTAUQUA,VILLENOVA,Basement,1,5.3,5.3,1,5.3,0,1,0
CHAUTAUQUA,WESTFIELD,Basement,68,14.33,6.59,3.87,141,25,28,15
CHAUTAUQUA,WESTFIELD,1st Floor,19,7.77,2.92,4.59,52.8,11,6,2
CHEMUNG,ASHLAND,Basement,18,5.44,3.07,2.71,28.1,12,5,1
CHEMUNG,ASHLAND,1st Floor,10,3.31,1.12,5.81,12.6,7,3,0
CHEMUNG,BALDWIN,Basement,6,2.35,1.73,2.32,5,4,2,0
CHEMUNG,BALDWIN,1st Floor,5,1.32,0.84,2.79,3.9,5,0,0
CHEMUNG,BIG FLATS,Basement,154,19.21,10.63,3.92,118.3,35,53,66
CHEMUNG,BIG FLATS,1st Floor,40,6.44,2.73,4.93,29,22,15,3
CHEMUNG,CATLIN,Basement,19,10.38,5.96,3.16,48,7,10,2
CHEMUNG,CATLIN,1st Floor,7,1.44,1.11,2.28,2.9,7,0,0
CHEMUNG,CHEMUNG,Basement,44,9.12,5.05,2.91,77.9,16,24,4
CHEMUNG,CHEMUNG,1st Floor,7,5.34,2.94,2.98,22.2,5,1,1
CHEMUNG,ELMIRA,Basement,"1,065",10.98,6.49,2.99,85.6,332,560,173
CHEMUNG,ELMIRA,1st Floor,232,5.77,2.46,3.89,142.5,145,75,12
CHEMUNG,ERIN,Basement,28,6.87,4.24,2.58,37.5,13,12,3
CHEMUNG,ERIN,1st Floor,6,3.87,1.52,4.25,16,4,2,0
CHEMUNG,HORSEHEADS,Basement,528,13.09,7.7,3.25,71.4,132,286,110
CHEMUNG,HORSEHEADS,1st Floor,116,8.91,3.4,4.31,224.9,58,50,8
CHEMUNG,SOUTHPORT,Basement,166,16.53,8.77,3.58,98.4,44,70,52
CHEMUNG,SOUTHPORT,1st Floor,33,6.53,3.38,3.75,32.4,15,16,2
CHEMUNG,VAN ETTEN,Basement,15,6.95,4.52,2.61,30.6,6,8,1
CHEMUNG,VAN ETTEN,1st Floor,9,8.02,1.94,7.47,42.5,5,3,1
CHEMUNG,VETERAN,Basement,47,11.46,5.23,3.91,98.2,20,21,6
CHEMUNG,VETERAN,1st Floor,12,4.32,1.41,4.66,30.2,10,1,1
CHENANGO,AFTON,Basement,56,2.97,1.11,3.89,43.8,46,9,1
CHENANGO,AFTON,1st Floor,48,1.53,0.57,4.12,16.6,43,5,0
CHENANGO,BAINBRIDGE,Basement,63,9.09,4.74,3.06,63.4,30,25,8
CHENANGO,BAINBRIDGE,1st Floor,39,5.77,1.81,5.38,40.4,27,9,3
CHENANGO,COLUMBUS,Basement,2,6.2,6.08,1.32,7.4,0,2,0
CHENANGO,COLUMBUS,1st Floor,1,5.4,5.4,1,5.4,0,1,0
CHENANGO,COVENTRY,Basement,5,2.48,2.15,1.85,4.5,4,1,0
CHENANGO,GREENE,Basement,56,9.33,4.06,3.62,82.9,31,17,8
CHENANGO,GREENE,1st Floor,35,5.11,1.44,4.71,75.2,28,5,2
CHENANGO,GUILFORD,Basement,37,8.58,4.47,3.21,50.3,19,15,3
CHENANGO,GUILFORD,1st Floor,19,2,1.16,3.59,8.5,18,1,0
CHENANGO,LINCKLAEN,Basement,1,15.2,15.2,1,15.2,0,1,0
CHENANGO,LINCKLAEN,1st Floor,2,10.65,10.65,1.02,10.8,0,2,0
CHENANGO,MCDONOUGH,Basement,12,4.2,2.88,2.57,10.9,7,5,0
CHENANGO,MCDONOUGH,1st Floor,5,12,1.54,12.86,52,3,1,1
CHENANGO,NEW BERLIN,Basement,45,8.48,4.12,3.87,58.2,18,23,4
CHENANGO,NEW BERLIN,1st Floor,36,4.18,1.86,4.22,29.7,22,13,1
